"tahun","bulan","kota_administrasi","kecamatan","penderita_dbd","meninggal","periode_data"
"2020","10","Jakarta Barat","Palmerah","0","0","202010"
"2020","11","Jakarta Barat","Palmerah","1","0","202011"
"2020","12","Jakarta Barat","Palmerah","4","0","202012"
"2020","01","Jakarta Barat","Taman Sari","0","0","202001"
"2020","02","Jakarta Barat","Taman Sari","11","0","202002"
"2020","03","Jakarta Barat","Taman Sari","18","0","202003"
"2020","04","Jakarta Barat","Taman Sari","24","0","202004"
"2020","05","Jakarta Barat","Taman Sari","10","0","202005"
"2020","06","Jakarta Barat","Taman Sari","8","0","202006"
"2020","07","Jakarta Barat","Taman Sari","1","0","202007"
"2020","08","Jakarta Barat","Taman Sari","1","0","202008"
"2020","09","Jakarta Barat","Taman Sari","0","0","202009"
"2020","10","Jakarta Barat","Taman Sari","0","0","202010"
"2020","11","Jakarta Barat","Taman Sari","0","0","202011"
"2020","12","Jakarta Barat","Taman Sari","0","0","202012"
"2020","01","Jakarta Barat","Tambora","2","0","202001"
"2020","02","Jakarta Barat","Tambora","18","0","202002"
"2020","03","Jakarta Barat","Tambora","26","0","202003"
"2020","04","Jakarta Barat","Tambora","16","0","202004"
"2020","05","Jakarta Barat","Tambora","10","0","202005"
"2020","06","Jakarta Barat","Tambora","1","0","202006"
"2020","07","Jakarta Barat","Tambora","0","0","202007"
"2020","08","Jakarta Barat","Tambora","0","0","202008"
"2020","09","Jakarta Barat","Tambora","1","0","202009"
"2020","10","Jakarta Barat","Tambora","1","0","202010"
"2020","11","Jakarta Barat","Tambora","0","0","202011"
"2020","12","Jakarta Barat","Tambora","0","0","202012"
"2020","01","Jakarta Selatan","Cilandak","2","0","202001"
"2020","02","Jakarta Selatan","Cilandak","13","0","202002"
"2020","03","Jakarta Selatan","Cilandak","16","0","202003"
"2020","04","Jakarta Selatan","Cilandak","10","0","202004"
"2020","05","Jakarta Selatan","Cilandak","3","0","202005"
"2020","06","Jakarta Selatan","Cilandak","6","0","202006"
"2020","07","Jakarta Selatan","Cilandak","3","0","202007"
"2020","08","Jakarta Selatan","Cilandak","2","0","202008"
"2020","09","Jakarta Selatan","Cilandak","1","0","202009"
"2020","10","Jakarta Selatan","Cilandak","2","0","202010"
"2020","11","Jakarta Selatan","Cilandak","0","0","202011"
"2020","12","Jakarta Selatan","Cilandak","0","0","202012"
"2020","01","Jakarta Selatan","Jagakarsa","4","0","202001"
"2020","02","Jakarta Selatan","Jagakarsa","15","0","202002"
"2020","03","Jakarta Selatan","Jagakarsa","25","0","202003"
"2020","04","Jakarta Selatan","Jagakarsa","8","0","202004"
"2020","05","Jakarta Selatan","Jagakarsa","7","0","202005"
"2020","06","Jakarta Selatan","Jagakarsa","13","0","202006"
"2020","07","Jakarta Selatan","Jagakarsa","6","0","202007"
"2020","08","Jakarta Selatan","Jagakarsa","1","0","202008"
"2020","09","Jakarta Selatan","Jagakarsa","0","0","202009"
